open_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,taker_buy_asset_volume,taker_buy_quote_volume,number_of_trades,price
1734507300000,103985.82000000,104056.00000000,103950.00000000,104055.99000000,54.39508000,1734507599999,5656414.17517010,14414,19.28063000,2004799.58299700,104020.905
1734507600000,104056.00000000,104200.74000000,104055.99000000,104200.74000000,97.25957000,1734507899999,10127092.88267840,12466,37.14336000,3868216.51003180,104128.37
1734507900000,104200.74000000,104261.60000000,104136.79000000,104144.33000000,83.01237000,1734508199999,8648953.66347420,16114,54.53733000,5682261.93646970,104172.535
1734508200000,104144.32000000,104317.82000000,104128.94000000,104212.00000000,88.37213000,1734508499999,9212693.89293820,23509,32.58272000,3396162.53872740,104178.16
1734508500000,104212.00000000,104315.50000000,104212.00000000,104250.75000000,62.00941000,1734508799999,6466057.12080350,20619,31.79641000,3315595.37922920,104231.375
1734508800000,104250.75000000,104252.01000000,104104.79000000,104251.99000000,93.83292000,1734509099999,9774166.10066890,17288,32.16023000,3349503.94635260,104251.37
1734509100000,104252.00000000,104378.92000000,104251.99000000,104346.39000000,59.58638000,1734509399999,6217040.18793300,11150,41.47941000,4327677.66045370,104299.195
1734509400000,104346.40000000,104346.40000000,104224.93000000,104224.94000000,81.15123000,1734509699999,8463505.48085950,10488,26.62755000,2776957.92797520,104285.67
1734509700000,104224.94000000,104224.94000000,104020.01000000,104020.02000000,70.06142000,1734509999999,7294487.62905120,22084,18.53923000,1929971.64301930,104122.48000000001
1734510000000,104020.02000000,104033.42000000,103888.00000000,103963.53000000,71.18428000,1734510299999,7400965.60313000,19780,16.71326000,1737401.36730940,103991.775
1734510300000,103963.53000000,103991.81000000,103904.27000000,103948.00000000,47.18611000,1734510599999,4904588.80316470,10466,14.05543000,1460838.99478400,103955.765
1734510600000,103947.99000000,104047.99000000,103868.61000000,104024.01000000,59.13998000,1734510899999,6146983.83505360,17337,29.61113000,3078151.03314500,103986.0
1734510900000,104024.00000000,104084.37000000,103956.00000000,104031.21000000,43.41987000,1734511199999,4515449.13421170,15915,25.05439000,2605400.75460100,104027.60500000001
1734511200000,104031.21000000,104031.21000000,103825.60000000,103828.01000000,58.27318000,1734511499999,6054254.34715210,11114,13.87305000,1441339.13982210,103929.61
1734511500000,103828.01000000,103919.99000000,103796.50000000,103888.01000000,43.27024000,1734511799999,4494320.97065180,12357,21.94934000,2279936.12138490,103858.01
1734511800000,103888.00000000,103894.00000000,103804.93000000,103825.14000000,33.14674000,1734512099999,3441988.83274380,14238,15.56487000,1616120.93849290,103856.57
1734512100000,103825.15000000,103840.00000000,103729.18000000,103805.43000000,47.00197000,1734512399999,4878325.93892100,13583,13.63566000,1415213.38982940,103815.29
1734512400000,103805.42000000,103900.87000000,103804.66000000,103900.87000000,34.10542000,1734512699999,3542043.04160160,8862,14.97416000,1555211.12071820,103853.14499999999
1734512700000,103900.86000000,104138.19000000,103900.86000000,104119.98000000,203.10855000,1734512999999,21128506.83248500,15219,101.62300000,10569980.03686410,104010.42
1734513000000,104119.99000000,104283.52000000,104119.99000000,104283.51000000,56.45273000,1734513299999,5883902.55735630,13910,38.94960000,4059438.67035130,104201.75
1734513300000,104283.51000000,104302.82000000,104209.00000000,104252.44000000,50.25473000,1734513599999,5239422.02067010,11106,27.22809000,2838679.71694830,104267.975
1734513600000,104252.44000000,104435.00000000,104224.04000000,104389.55000000,76.68280000,1734513899999,7999951.21741720,12305,45.17977000,4713569.77140730,104320.995
1734513900000,104389.55000000,104389.55000000,104243.53000000,104287.98000000,114.67704000,1734514199999,11961542.91406720,10992,33.47370000,3491441.91763920,104338.765
1734514200000,104287.99000000,104320.87000000,104262.44000000,104293.43000000,41.14557000,1734514499999,4291511.35147600,6657,17.59004000,1834690.11938740,104290.70999999999
1734514500000,104293.44000000,104293.44000000,104148.01000000,104150.32000000,34.56453000,1734514799999,3601704.90891850,7695,10.63940000,1108660.40235500,104221.88
1734514800000,104150.32000000,104205.17000000,104144.36000000,104153.78000000,53.84359000,1734515099999,5609518.01607200,5432,28.49141000,2968268.23467550,104152.05
1734515100000,104153.79000000,104207.60000000,104146.08000000,104190.01000000,46.21386000,1734515399999,4814660.95832750,7904,28.01523000,2918572.13659400,104171.9
1734515400000,104190.01000000,104200.00000000,104112.07000000,104112.08000000,35.98224000,1734515699999,3747569.43792560,6038,8.50634000,885987.90575910,104151.045
1734515700000,104112.08000000,104123.01000000,104044.00000000,104047.99000000,47.69910000,1734515999999,4964683.82032540,7258,20.32716000,2115896.95478440,104080.035
1734516000000,104047.99000000,104099.36000000,103984.00000000,104036.55000000,41.58765000,1734516299999,4326476.24026200,10549,17.34506000,1804514.76451530,104042.27
1734516300000,104036.55000000,104161.67000000,104030.66000000,104161.67000000,33.68117000,1734516599999,3505997.39993920,7176,19.95608000,2077390.94253180,104099.11
